requested_amount_usd,application_date,request_title,screening_score,debt_to_income_text,region_code,employment_tenure_text,policy_code
15000.0,2007-06-01,joelforeman,654.0,27.48%,FL,2 years,0.0
1000.0,2007-06-01,auburnmk23,486.0,12.4%,AL,< 1 year,0.0
2500.0,2007-06-01,Scott Stowe,520.0,13.1%,IN,1 year,0.0
5000.0,2007-06-01,iamheatherleigh,0.0,0%,KY,5 years,0.0
2500.0,2007-06-01,Paying for college,547.0,29.16%,FL,< 1 year,0.0
1000.0,2007-06-01,alivrum,454.0,7.68%,OH,< 1 year,0.0
5000.0,2007-06-02,wbnd44,509.0,20%,OH,1 year,0.0
5000.0,2007-06-02,skyydogg,0.0,0%,WI,1 year,0.0
1500.0,2007-06-02,Svengar7,665.0,0%,PA,< 1 year,0.0
1000.0,2007-06-02,sopinksolovely,454.0,11.12%,NY,2 years,0.0
1000.0,2007-06-02,angelbabe,561.0,1.07%,NY,< 1 year,0.0
8000.0,2007-06-02,K9Genetics,565.0,11.67%,AZ,1 year,0.0
3500.0,2007-06-02,zminer,479.0,1.73%,CO,< 1 year,0.0
2500.0,2007-06-02,moecheeks21,444.0,0%,KS,< 1 year,0.0
25000.0,2007-06-02,Lilly,549.0,20.06%,AZ,4 years,0.0
4500.0,2007-06-02,QuisyFBaby,599.0,16.8%,MD,< 1 year,0.0
2000.0,2007-06-03,thesassaman,650.0,0%,WA,< 1 year,0.0
10000.0,2007-06-03,regan117,607.0,23.1%,PA,1 year,0.0
3500.0,2007-06-03,manx203,0.0,0%,PA,< 1 year,0.0
5000.0,2007-06-03,eswist,419.0,3.48%,TX,1 year,0.0
11000.0,2007-06-03,Consolidate Prosper,758.0,37.3%,OR,1 year,0.0
1500.0,2007-06-03,matt12amazing,504.0,27.45%,KS,< 1 year,0.0
1500.0,2007-06-04,dEs,711.0,58.8%,GA,1 year,0.0
1000.0,2007-06-04,I'm trying to repair my credit by paying off some old debts.,530.0,8.51%,AR,< 1 year,0.0
7000.0,2007-06-04,jd2427,473.0,23.96%,GA,< 1 year,0.0
25000.0,2007-06-04,Annieb6283,606.0,4.9%,PA,< 1 year,0.0
10000.0,2007-06-04,LenaPresley,502.0,0%,NC,< 1 year,0.0
4000.0,2007-06-04,bhissam,497.0,9.87%,WV,1 year,0.0
2500.0,2007-06-04,Jonelle's Study Abroad,709.0,10%,NY,< 1 year,0.0
3000.0,2007-06-04,belle54304,412.0,20.01%,WI,1 year,0.0
1000.0,2007-06-04,KB143,506.0,13.01%,TN,3 years,0.0
7500.0,2007-06-04,fsallustio,472.0,14.36%,MA,7 years,0.0
2000.0,2007-06-04,mlishuslymotvatd,507.0,0%,NY,< 1 year,0.0
1000.0,2007-06-04,Gballgamer,567.0,16.58%,CO,< 1 year,0.0
1100.0,2007-06-04,MATTHEW,551.0,0.72%,FL,4 years,0.0
3000.0,2007-06-04,saxman6160,0.0,4.05%,CO,< 1 year,0.0
1000.0,2007-06-05,queenlurline,0.0,0.86%,UT,< 1 year,0.0
7000.0,2007-06-05,chrisw1025,607.0,39.79%,NC,2 years,0.0
1000.0,2007-06-05,ErikBell,0.0,6.55%,CO,4 years,0.0
5000.0,2007-06-05,baileykearns,552.0,1.6%,OH,2 years,0.0
1300.0,2007-06-05,kimbbarr,643.0,22.5%,NJ,2 years,0.0
500.0,2007-06-05,Kiana_Noelle,547.0,18.52%,MD,4 years,0.0
1000.0,2007-06-05,Raistlan,647.0,7.21%,WA,7 years,0.0
1000.0,2007-06-05,chynadoll3586,531.0,493.6%,AL,1 year,0.0
3000.0,2007-06-06,Keith24601,612.0,6.72%,NJ,< 1 year,0.0
2000.0,2007-06-06,nicole38,656.0,5.51%,MD,1 year,0.0
5000.0,2007-06-06,Butterfly,528.0,18.4%,VA,2 years,0.0
2000.0,2007-06-06,speedy079,558.0,10.85%,NJ,5 years,0.0
10000.0,2007-06-06,demarishargett,461.0,14.76%,NC,3 years,0.0
6700.0,2007-06-06,LoveLearn,522.0,4.17%,GA,2 years,0.0
20000.0,2007-06-06,Back To School,690.0,0.4%,NJ,< 1 year,0.0
3400.0,2007-06-06,scooterodell,559.0,24.36%,NY,9 years,0.0
5000.0,2007-06-06,crazymacguy,633.0,13.03%,WI,< 1 year,0.0
8000.0,2007-06-06,TheresaF,481.0,12.21%,OH,< 1 year,0.0
6000.0,2007-06-07,tjudith,679.0,26.07%,VA,< 1 year,0.0
5000.0,2007-06-08,1OTH-MOUNTAIN-MAN,494.0,5.86%,NY,< 1 year,0.0
9500.0,2007-06-08,moneywise,582.0,1.47%,AK,1 year,0.0
3500.0,2007-06-08,tmsworld,583.0, 3.12% ,NY,< 1 year,0.0
1500.0,2007-06-08,Sapphieangel008,468.0,3.98%,OH,< 1 year,0.0
10000.0,2007-06-08,FSUgirl,565.0,6.48%,FL,< 1 year,0.0
10000.0,2007-06-08,GRNGLD08,576.0,46.15%,VA,< 1 year,0.0
800.0,2007-06-08,mozizzle86,696.0,24%,NY,< 1 year,0.0
10000.0,2007-06-08,brianmikalw,559.0,0%,NY,< 1 year,0.0
5000.0,2007-06-08,thephotoguy.seth,545.0,10.18%,TN,< 1 year,0.0
6000.0,2007-06-08,Chase,602.0,2.36%,AL,< 1 year,0.0
1000.0,2007-06-08,sgeorges86,626.0,3%,SC,< 1 year,0.0
1000.0,2007-06-08,meep737,640.0,5.51%,OH,1 year,0.0
15000.0,2007-06-09,laurel,528.0,34.27%,NY,< 1 year,0.0
2500.0,2007-06-09,kyrstyn,509.0,14.16%,PA,< 1 year,0.0
16000.0,2007-06-09,Eagle8XC Tuition loan,667.0,22.98%,VT,1 year,0.0
2000.0,2007-06-09,Emmyboo0569,607.0,6.91%,VA,1 year,0.0
4000.0,2007-06-09,jweme,609.0,14.5%,FL,< 1 year,0.0
2000.0,2007-06-09,Bizounce,450.0,14.34%,MN,< 1 year,0.0
3000.0,2007-06-09,lmhsfan,,9.26%,CO,< 1 year,0.0
6000.0,2007-06-09,Chuck Ave,492.0,12%,MO,< 1 year,0.0
2500.0,2007-06-10,RebelGrad07,549.0,21.94%,MS,7 years,0.0
3000.0,2007-06-10,mtalty,481.0,60.11%,IN,3 years,0.0
6000.0,2007-06-10,brint,716.0,4042.11%,TX,< 1 year,0.0
17000.0,2007-06-10,Consolidating credit cards,653.0,5.96%,MD,4 years,0.0
5000.0,2007-06-10,jedurs,621.0,2.6%,VA,< 1 year,0.0
7500.0,2007-06-10,Charles,629.0,45.95%,FL,6 years,0.0
15000.0,2007-06-11,vervec,615.0,15%,MA,8 years,0.0
4000.0,2007-06-11,Debt Consolidation,608.0,0%,MN,< 1 year,0.0
4000.0,2007-06-11,Nickolae3,628.0,6.36%,KY,< 1 year,0.0
1000.0,2007-06-11,Alison,585.0,24%,CO,< 1 year,0.0
1500.0,2007-06-11,jaja9487,493.0, 6.4% ,OH,1 year,0.0
6500.0,2007-06-11,Sammy,512.0,1.84%,MA,9 years,0.0
5000.0,2007-06-11,Mattd,598.0,24.7%,GA,1 year,0.0
4000.0,2007-06-11,mattwalker,490.0,36.92%,VA,4 years,0.0
1500.0,2007-06-11,nfields1,588.0,9.23%,MS,< 1 year,0.0
1000.0,2007-06-11,luckyspirit,612.0,36.7%,MO,1 year,0.0
10000.0,2007-06-12,ali82fla,503.0,17.3%,FL,2 years,0.0
6000.0,2007-06-12,dirtbag05,454.0,21.6%,VA,< 1 year,0.0
25000.0,2007-06-12,peytongunn,512.0,0.77%,NC,< 1 year,0.0
10000.0,2007-06-12,ejsejsejs,0.0,0%,MO,1 year,0.0
4975.0,2007-06-12,triple007,523.0,1.84%,GA,8 years,0.0
25000.0,2007-06-12,Friend in need,557.0,18.83%,IN,1 year,0.0
5000.0,2007-06-12,B_lucas,530.0,0%,PA,< 1 year,0.0
15000.0,2007-06-12,Oldhouserenovator,576.0,17.06%,MA,2 years,0.0
3000.0,2007-06-12,keep0njeepin0n,548.0,17.74%,SC,4 years,0.0
3000.0,2007-06-12,arod76,497.0,10.59%,SC,3 years,0.0
12000.0,2007-06-12,Tony_Texan,,100%,CO,< 1 year,0.0
14000.0,2007-06-13,enturio,693.0,27.98%,NY,3 years,0.0
25000.0,2007-06-13,AdamDJohnson,0.0,0%,TX,4 years,0.0
1000.0,2007-06-13,PackAttack25,489.0,0%,NC,< 1 year,0.0
11000.0,2007-06-13,jar73186,0.0,0.75%,KS,1 year,0.0
1000.0,2007-06-13,iamjames,535.0,4.68%,MO,2 years,0.0
5000.0,2007-06-14,Hotspitta4life,557.0,9.6%,NY,< 1 year,0.0
5000.0,2007-06-14,SadRobot,639.0,1.32%,WA,4 years,0.0
3000.0,2007-06-14,Debonair,478.0,48.24%,WA,1 year,0.0
1000.0,2007-06-14,jessicavk,736.0,25.64%,IN,2 years,0.0
4000.0,2007-06-14,Chris Anthony,640.0,48.6%,IN,4 years,0.0
12000.0,2007-06-14,Responsible34,536.0,10.15%,TX,< 1 year,0.0
2000.0,2007-06-14,lizoplex,549.0,27.94%,TN,< 1 year,0.0
2500.0,2007-06-15,kmdones,454.0, 15.07% ,MD ,< 1 year,0.0
2000.0,2007-06-15,evolution333,522.0,0%,NC,< 1 year,0.0
7000.0,2007-06-15,ctg5ny,533.0,136.56%,GA,2 years,0.0
15000.0,2007-06-15,Tumalu,635.0,18.91%,TX,1 year,0.0
5000.0,2007-06-15,MizzDavis,631.0,20.64%,OH,1 year,0.0
2500.0,2007-06-15,djdecibal,475.0,42.55%,MN,1 year,0.0
2000.0,2007-06-15,bleitheiser,445.0,0%,WI,< 1 year,0.0
5000.0,2007-06-15,I need to refinance credit card debt that I got paying some legal fees,700.0,16.05%,TX,< 1 year,0.0
3000.0,2007-06-15,Selly,590.0,12.6%,WV,2 years,0.0
2500.0,2007-06-15,Lady_Neasha,0.0,8.67%,MO,1 year,0.0
25000.0,2007-06-16,emy,494.0,0%,FL,7 years,0.0
22000.0,2007-06-16,Stomping,645.0,37.09%,DE,2 years,0.0
2500.0,2007-06-17,trenee02,619.0,3%,TN,< 1 year,0.0
2000.0,2007-06-17,jackie1625,628.0,10.45%,OH,1 year,0.0
15000.0,2007-06-17,TDudai4,512.0,20.57%,FL,10+ years,0.0
5000.0,2007-06-17,levi,611.0,14.28%,MO,< 1 year,0.0
15000.0,2007-06-17,jfernando1,652.0,28.33%,FL,3 years,0.0
5000.0,2007-06-17,Stacked186,585.0,1.8%,NY,< 1 year,0.0
9000.0,2007-06-17,RKurth34,537.0,37.4%,WA,3 years,0.0
1000.0,2007-06-17,mansplace,525.0,8.36%,LA,< 1 year,0.0
3000.0,2007-06-17,AWoodard,560.0,4.8%,MO,1 year,0.0
1000.0,2007-06-18,young1jay,590.0,13.5%,CT,< 1 year,0.0
1500.0,2007-06-18,chrislee4life,470.0,4.44%,WA,4 years,0.0
10000.0,2007-06-18,topdog1203,490.0,4.02%,WI,2 years,0.0
10000.0,2007-06-18,hungwilfredo,693.0,31.65%,FL,3 years,0.0
3000.0,2007-06-18,jaj0165,634.0,17.93%,AL,10+ years,0.0
17000.0,2007-06-18,caterik,628.0,22.76%,MI,< 1 year,0.0
1000.0,2007-06-18,smollieolliepop,603.0,9.95%,TX,< 1 year,0.0
7000.0,2007-06-18,Mom wants to get rid of credit card,532.0,4.02%,IA,7 years,0.0
3000.0,2007-06-18,whyte_smoke_187,569.0,10.04%,LA,1 year,0.0
1000.0,2007-06-19,December Purchases & Christmas Shopping,628.0,7.8%,MA,< 1 year,0.0
10000.0,2007-06-19,Jay,605.0,28.46%,VA,1 year,0.0
4000.0,2007-06-19,ThePegLeg,,100%,TX,< 1 year,0.0
5000.0,2007-06-19,Dbrow113,544.0,32.64%,GA,2 years,0.0
1800.0,2007-06-19,ffadahunsi,516.0,9.33%,NY,< 1 year,0.0
10000.0,2007-06-19,strehlj,633.0,11.06%,FL,3 years,0.0
25000.0,2007-06-19,Tasia_Audre,483.0,9.26%,NC,< 1 year,0.0
5200.0,2007-06-19,jags1677,651.0,27.04%,IL,< 1 year,0.0
5000.0,2007-06-19,Vetri,604.0,26.5%,NY,1 year,0.0
2150.0,2007-06-19,KapSig,455.0,13.52%,WI,1 year,0.0
5000.0,2007-06-19,christinam84,594.0,0%,NY,1 year,0.0
23000.0,2007-06-19,Trying to consolidate debt,651.0,11.27%,WA,1 year,0.0
25000.0,2007-06-19,JoeMattie,642.0,41.64%,AK,1 year,0.0
2000.0,2007-06-19,Jlb7557,529.0, 27.01% ,CA ,1 year,0.0
5000.0,2007-06-19,Nerdular,617.0,6.17%,UT,< 1 year,0.0
5000.0,2007-06-20,clogteachr,647.0,19.75%,MI,8 years,0.0
25000.0,2007-06-20,ajo,589.0,5.74%,MN,2 years,0.0
3000.0,2007-06-20,JoelBacon,683.0,4.69%,OH,2 years,0.0
5000.0,2007-06-20,Looking for some help to pay healthcare ,508.0,11.1%,NY,3 years,0.0
5000.0,2007-06-20,drulover4eva2000,564.0,24.6%,MD,10+ years,0.0
1000.0,2007-06-20,drsray55,561.0,67.14%,WV,2 years,0.0
3500.0,2007-06-21,mqs0420,572.0,0%,AL,< 1 year,0.0
7500.0,2007-06-21,mrwilson,525.0,24%,MO,3 years,0.0
1000.0,2007-06-21,jeremysegars,482.0,21.43%,TX,< 1 year,0.0
1500.0,2007-06-21,asquit,581.0,2.52%,KS,1 year,0.0
10000.0,2007-06-21,Loan Consolidation,635.0,13.35%,CA,1 year,0.0
4000.0,2007-06-21,musicjunkieg,515.0,12.29%,NY,< 1 year,0.0
12000.0,2007-06-21,incognito,789.0,22.72%,MA,5 years,0.0
8000.0,2007-06-21,One Payment Plan,595.0, 15.67% ,KS ,< 1 year,0.0
1300.0,2007-06-21,micdavhen,468.0,11.53%,NC,1 year,0.0
3000.0,2007-06-21,echolis,543.0,7.3%,NY,5 years,0.0
2200.0,2007-06-21,velodave,596.0,0.5%,OH,2 years,0.0
25000.0,2007-06-21,callana,619.0,10.29%,MA,2 years,0.0
10000.0,2007-06-21,SFPT,474.0,12.93%,WI,< 1 year,0.0
1000.0,2007-06-22,BrianMc21,0.0,0%,GA,< 1 year,0.0
7500.0,2007-06-22,DonGuzz,528.0,0%,MA,5 years,0.0
1000.0,2007-06-22,ninjaone,646.0,109.2%,TX,< 1 year,0.0
5000.0,2007-06-22,operaprincess86,600.0,10.12%,MA,1 year,0.0
10000.0,2007-06-22,flippidot,0.0,0%,NY,2 years,0.0
3000.0,2007-06-22,digitalkp,594.0,9.07%,NY,< 1 year,0.0
20000.0,2007-06-22,zu,635.0,9.87%,FL,3 years,0.0
8500.0,2007-06-22,wxman,702.0,30.19%,OK,1 year,0.0
1000.0,2007-06-22,andyasstronaut,561.0,21.7%,TX,3 years,0.0
20000.0,2007-06-22,RexMundi,530.0,0.69%,WA,4 years,0.0
3500.0,2007-06-23,Kristen811,538.0,13.55%,NY,7 years,0.0
8000.0,2007-06-23,reveiled,462.0,12.38%,FL,< 1 year,0.0
9000.0,2007-06-23,insanebeauty222,625.0,2.81%,ME,< 1 year,0.0
4500.0,2007-06-23,lwilli2480,628.0,15.79%,CO,10+ years,0.0
1000.0,2007-06-23,audralea,710.0,18.8%,AR,< 1 year,0.0
25000.0,2007-06-23,wendylou65,565.0,43.25%,OH,10+ years,0.0
4000.0,2007-06-23,aliciaversteeg,666.0,6.12%,OH,< 1 year,0.0
20000.0,2007-06-23,iltschi58,549.0,5.2%,VA,10+ years,0.0
5000.0,2007-06-23,VTNurse,650.0,11%,VT,2 years,0.0
25000.0,2007-06-24,betsy1120,570.0,22.56%,FL,2 years,0.0
4000.0,2007-06-24,Forex,657.0,39.55%,TX,2 years,0.0
11000.0,2007-06-24,personal loan,655.0,2.09%,NY,10+ years,0.0
7000.0,2007-06-24,clean slate,647.0,30.79%,MD,10+ years,0.0
4000.0,2007-06-24,prettybaby80,495.0,0%,NY,7 years,0.0
1400.0,2007-06-24,good person,488.0,8.94%,NY,9 years,0.0
15000.0,2007-06-24,pap0607,695.0,40.78%,SC,2 years,0.0
5000.0,2007-06-24,skywater,484.0,6.63%,AR,8 years,0.0
7500.0,2007-06-24,coffeeman,510.0,3.94%,MD,6 years,0.0
2000.0,2007-06-24,biblioteach,505.0,1.82%,NC,10+ years,0.0
20000.0,2007-06-24,DHaywood,543.0,0%,NY,< 1 year,0.0
9000.0,2007-06-24,mareliz,566.0,38.42%,MA,< 1 year,0.0
10000.0,2007-06-24,Moanablu,535.0,50.76%,MN,5 years,0.0
20000.0,2007-06-24,aujosh02,671.0,29.12%,AL,2 years,0.0
1000.0,2007-06-24,Rockstar,601.0,0%,IN,1 year,0.0
15000.0,2007-06-24,Choppee,480.0,680.31%,SC,1 year,0.0
15000.0,2007-06-24,alc1978,534.0,8.58%,CO,< 1 year,0.0
2000.0,2007-06-24,tammers,535.0,0.75%,NC,1 year,0.0
15000.0,2007-06-24,Btmason,571.0,23.6%,NC,< 1 year,0.0
20000.0,2007-06-25,G,609.0,27.72%,NM,2 years,0.0
13000.0,2007-06-25,terbehr,583.0,45.78%,UT,10+ years,0.0
25000.0,2007-06-25,evajones,623.0,23.01%,WA,4 years,0.0
2000.0,2007-06-25,Hismtngrl,527.0,51.73%,CO,6 years,0.0
20000.0,2007-06-25,singlemom71,596.0,9.96%,AR,6 years,0.0
5250.0,2007-06-25,musics,701.0,0.26%,PA,< 1 year,0.0
4000.0,2007-06-25,mfalette,524.0,5.04%,WA,1 year,0.0
12000.0,2007-06-25,legacy1,533.0,16.77%,TN,< 1 year,0.0
2500.0,2007-06-25,chappy84,574.0,3.2%,IN,1 year,0.0
6000.0,2007-06-25,Canisius College,645.0,9.51%,NY,< 1 year,0.0
5000.0,2007-06-25,Pandora46,606.0,40.88%,MD,10+ years,0.0
10700.0,2007-06-25,lynniea5,542.0,10.55%,VA,< 1 year,0.0
3500.0,2007-06-25,InjunNinja,487.0,0%,FL,1 year,0.0
3000.0,2007-06-25,fix1925,574.0,0%,IN,10+ years,0.0
6500.0,2007-06-25,cpetryk,533.0,50.4%,NJ,4 years,0.0
15000.0,2007-06-25,heyteacher,433.0,3.76%,GA,10+ years,0.0
5000.0,2007-06-25,Andrea Advincula,537.0,47.2%,IN,3 years,0.0
20000.0,2007-06-25,Skeeter,605.0,0%,UT,1 year,0.0
18000.0,2007-06-25,magoo69,632.0,33.05%,IL,10+ years,0.0
5000.0,2007-06-25,Willdukem07,0.0,0%,NY,10+ years,0.0
5000.0,2007-06-25,dwgallo,600.0,18.22%,NJ,10+ years,0.0
3500.0,2007-06-25,sharo41,432.0,4.03%,TX,2 years,0.0
1000.0,2007-06-25,teamgalvan,514.0, 11.86% ,CO ,2 years,0.0
2500.0,2007-06-26,cebm82,625.0,33.12%,GA,5 years,0.0
13000.0,2007-06-26,Georgiadawgs45,0.0,0%,GA,< 1 year,0.0
1000.0,2007-06-26,CrawfordsGirl,493.0,18.84%,MN,< 1 year,0.0
4000.0,2007-06-26,SUZIEKLIND,537.0,22.95%,MN,3 years,0.0
4000.0,2007-06-26,semo_train,464.0,100.5%,MO,< 1 year,0.0
25000.0,2007-06-26,DedMansHnd,651.0,41.79%,TX,10+ years,0.0
1000.0,2007-06-26,psychnurse05,554.0,9.19%,MN,4 years,0.0
500.0,2007-06-26,lrod420,617.0,22.64%,KS,< 1 year,0.0
25000.0,2007-06-26,San_Diego,646.0,7.94%,CO,1 year,0.0
5500.0,2007-06-27,Kratos,594.0,18.76%,MD,< 1 year,0.0
4000.0,2007-06-27,ga71,588.0,31.79%,GA,6 years,0.0
1000.0,2007-06-27,zexzcbnbabe,501.0,10.08%,FL,< 1 year,0.0
1000.0,2007-06-27,Help rebuild Galveston,,100%,TX,10+ years,0.0
1000.0,2007-06-27,Phill0046,509.0,1.84%,NC,< 1 year,0.0
6000.0,2007-06-27,singleteach,485.0,15.23%,CO,7 years,0.0
1000.0,2007-06-27,billkach,483.0,7.2%,NJ,< 1 year,0.0
1000.0,2007-06-28,orangeslices,449.0, 16.26% ,OH ,< 1 year,0.0
20000.0,2007-06-28,I would be using this loan to pay off high interest credit cards and medical bills.,631.0,17.79%,UT,3 years,0.0
5000.0,2007-06-28,shameless,593.0,24.2%,WI,10+ years,0.0
2500.0,2007-06-28,roselyn26,545.0,15.18%,HI,1 year,0.0
3000.0,2007-06-28,Melodyrcr,639.0,56.27%,LA,2 years,0.0
20000.0,2007-06-29,CallianaThomas,646.0,25.8%,NY,< 1 year,0.0
3000.0,2007-06-29,samurai,726.0,20400%,NJ,< 1 year,0.0
1000.0,2007-06-29,dswilliams17,0.0,0%,TX,< 1 year,0.0
1500.0,2007-06-29,undonefilms,543.0,14.35%,NH,5 years,0.0
3500.0,2007-06-29,momtojr,661.0,242.83%,NC,10+ years,0.0
5000.0,2007-06-29,ikrsone12,503.0,3.74%,NJ,< 1 year,0.0
25000.0,2007-06-29,so1oonnet,727.0,6.69%,MD,< 1 year,0.0
1200.0,2007-06-30,twinsno1,586.0,3.63%,NY,< 1 year,0.0
3500.0,2007-06-30,resanchez,525.0,0%,CO,< 1 year,0.0
1000.0,2007-06-30,bigtrav2207,432.0,414.4%,MO,< 1 year,0.0
20000.0,2007-06-30,ms,563.0,33.04%,NY,5 years,0.0
4500.0,2007-06-30,Miss Stephanie,535.0,21.03%,NY,< 1 year,0.0
10000.0,2007-06-30,Esp-sonia,575.0,0%,FL,4 years,0.0
8000.0,2007-06-30,Fresh start,504.0,36.68%,MI,6 years,0.0
1500.0,2007-06-30,cocovanilla,491.0,2.54%,CO,< 1 year,0.0
1500.0,2007-06-30,suprstrmandie,0.0,14.4%,KS,2 years,0.0
2500.0,2007-06-30,Veganshero,456.0,88.4%,NJ,3 years,0.0
2500.0,2007-06-30,meghanneedsyou,544.0,0%,VA,< 1 year,0.0
15000.0,2007-06-30,malcolmp,592.0,2.37%,NY,< 1 year,0.0
5000.0,2007-07-01,JBurt0n6,507.0,63.5%,TX,3 years,0.0
3000.0,2007-07-01,Backon Track,522.0,11.96%,NY,3 years,0.0
2500.0,2007-07-01,jenjenfrench,609.0,12.5%,TX,< 1 year,0.0
25000.0,2007-07-01,realestate1,666.0,28.19%,NJ,10+ years,0.0
5500.0,2007-07-01,rdleathers1386,597.0,0%,GA,< 1 year,0.0
10000.0,2007-07-01,thenewlight,482.0, 73.87% ,MA,< 1 year,0.0
1500.0,2007-07-01,aquinas02,594.0,0%,MO,< 1 year,0.0
22000.0,2007-07-01,john123,595.0,17.11%,NY,1 year,0.0
1000.0,2007-07-01,My credit card is charging me 14%,720.0,27.21%,MO,4 years,0.0
20000.0,2007-07-01,coldspring2000,724.0,19.49%,KY,3 years,0.0
4000.0,2007-07-01,datboyfine,502.0,6.56%,PA,1 year,0.0
1000.0,2007-07-01,sardonix,676.0,32.8%,IN,2 years,0.0
1100.0,2007-07-01,PositiveBlack,504.0,6.78%,FL,< 1 year,0.0
25000.0,2007-07-01,Saxwoman2,562.0,15.36%,FL,< 1 year,0.0
8000.0,2007-07-02,"I intend to use this loan to pay off a credit card and most of my overdraft protection, while reducing my monthly payments (if I get my target rate).",727.0,47.63%,NY,4 years,0.0
